id,sku,a,b,c
0,8ba57dcdba9a58b0c4edd180bef6afc9,11.0,31.0,28.0
1,d9af6ce6f9e303f4b1a8cb47cde21975,29.0,14.0,40.0
2,8b91fd242bde88f0891380506d9c3caa,12.0,13.0,35.0
3,e8af308a7659e34194770d1e3a48e144,3.0,13.0,8.0
4,dc0e2542e122731217289b8e6d3bd3f8,96.0,18.0,56.0
5,156600848b3684586e60feb0389f95e6,60.0,98.0,12.0
6,f743625c5e9ce182b2cbcd04ce5729d0,40.0,2.0,39.0
7,5a01e3db46d407ffa91260b746c690fa,3.0,17.0,10.0
8,f8805c2248c71e43be3fe7d93b066344,15.0,3.0,10.0
9,f75d4778671e8de9e39c6402ec1b9494,81.0,51.0,14.0
10,4febc4fe84f620e5efa7f0da1fa1cfdf,17.0,24.0,33.0
11,34084caea64563ad7a43d0024d3362df,38.0,10.0,33.0
12,c6062ac6b5ea2951cb2cd25b9eaf6b64,6.0,7.0,7.0
13,2c9c855b7ce729cd185fbfad1ec8e351,46.0,13.0,30.0
14,4f3cb6591846cd417288b935ad7110fc,25.0,7.0,15.0
15,ae7ae9137e6e1a8182c1775c7ab00c32,18.8,10.8,25.4
16,bb47362c7a444657d75fb14129d8f4bd,15.0,51.0,82.0
17,741d282447cc7cf35041e201b8f4b871,11.0,1.0,5.0
18,8040adba21b0a6beaf9a44a2511e60ff,13.0,17.0,13.0
19,822588ba8b99ed4e105feddea10d6c98,15.0,26.0,23.0
20,b2d8f6840c38edeb987d74be5191840c,15.0,5.0,10.0
21,cb9f88920f9818608addfbd259d7fc52,20.8,12.0,32.0
22,375a58acf3671d4694f21ee013b5d8dd,16.0,121.0,66.0
23,8c58a8cde3a2ba9e179bb5cdbbee05fb,34.0,34.0,34.0
24,5f977c8150e374b4f8f9620955dbc193,10.0,15.0,10.0
25,73b19d93a377e7054644dca2e418cb30,15.0,5.0,10.0
26,fa23901501f471d383611dddf93629f1,6.0,7.0,8.0
27,174cccc1b1847bd7264e55eca323e4d3,9.0,2.0,5.0
28,ab187c1a9182c9f51f3bacb526d1ed2d,14.0,5.0,21.0
29,bc1e9511060fbce5f9d312c782678bf4,32.0,22.0,7.0
30,b5bf4eac545a5bf596c6d92fb8fd71f6,39.0,15.0,14.0
31,e5b4b85a7b457bccbcf54150fce0aa66,80.0,22.0,22.0
32,3d41918358cadcf5492c2f231dbe56c3,6.0,22.0,17.0
33,94cf2826ff80e221a6eb840dbdf86e7a,60.0,15.0,25.0
34,f0e33f1aa1fc4f1d8c8c02d7f0015967,18.0,43.0,33.0
35,07bec5987e4ed7450ed127fe865edb74,24.0,22.0,31.0
36,5976e7c4daf21e1f56980cd075367664,11.0,28.0,7.0
37,2e55a124c6242137fdf646208fee3b1c,13.0,5.0,20.0
38,62231a21355b06a0c8ed9d77c48d4c1a,33.0,39.0,11.0
39,87259430f46d3066629217be1d183b44,56.0,20.0,26.0
40,e2f650b9c349505e9aa313081012016f,41.1,12.3,22.5
41,3e91bcb2024813bc84d8a1e1921f1356,25.0,21.0,33.0
42,cd458730030072e032a29a815b9ef0ef,12.0,60.0,38.0
43,310ae64bae1ee777e8587730442dbe33,6.0,5.0,5.0
44,6688b9d5057e2c0851861506810b764d,26.0,31.0,1.0
45,7fa44ab012b6c0b2408a5329395c5e50,16.0,10.0,10.0
46,319c5f4d8ef4d2d0cd8a5848f1733f30,13.0,78.0,48.0
47,d5c31d995a617844210e5d4f170b6c02,14.0,11.0,35.0
48,d421125b755f68dc09b9b126885a7ae3,29.0,38.0,25.0
49,f1dcef3a5e95851ef94ef7effd54bbdd,17.0,17.0,35.0
50,14c5eb756d09c6d7103dbd4e8c8a48c2,42.0,30.0,17.0
51,3c0f9c8010b50bb39d867cc8897e6416,10.0,5.0,8.0
52,29db338692a827b9e75baca54546bf40,1.0,21.0,5.0
53,6920c086a1124768070615bdcd348927,6.0,15.0,5.0
54,fba12b42c1a97bdf5ed2e112bfff45e0,38.0,12.0,37.0
55,846c5b41527e1f8a1bb6b9db69566df4,19.0,7.0,15.0
56,946cc6d769d6c4fca5d5d89f0d52f1f4,7.0,27.0,38.0
57,b21e72de332502f97e1269d1ce7d26b2,9.0,5.0,7.0
58,355d40c3990203b3a202522c92bec2fa,21.0,16.0,27.0
59,3ca3d04bb181ab33182590bea1609af1,7.0,21.0,12.0
60,acc93e4c1d636f6e908eb7ca8658bb79,28.0,20.0,19.0
61,509edf9adac2b89e58ce24652b96bc0c,33.0,14.0,16.0
62,bf4c21a2e6f4f71fa589c533abb8560a,4.0,13.0,7.0
63,8e21dd2dcf425ee18219f62d31efe161,21.0,7.0,20.0
64,e5b386e0a73b047098eb5c4a24f0aa58,20.0,10.0,15.0
65,303116054b95fc99da43627047ef9b2c,48.0,34.0,30.0
66,d209f2aed61de41f958ef5a227abdc7f,16.0,3.0,7.0
67,670f7b18aef13e9d6267b9e438a12358,14.0,40.0,23.0
68,f8bb017b6762fac3730f82afc71bdfac,5.0,19.0,12.0
69,6202353038b1fe6590b60dc07fa62e67,21.0,25.0,16.0
70,5848ac064f2df66028d26b919656bea3,12.0,35.0,45.0
71,76212470aff977f44ac2b42ae0947872,18.0,33.0,38.0
72,a9f5cf5116f5b76d56b8d435ea641f23,5.0,19.0,12.0
73,8faa80b85064cabffdaa320c25f1a8f3,16.0,1.0,20.0
74,c709702b350e3aebf50f33b43fdc7766,37.0,6.0,7.0
75,18bc3fbfe90632b4ad0d03da9359fe62,108.0,66.0,18.0
76,300c7e1d283f618f51ec4c7fbba8f14d,40.0,5.0,23.0
77,5f22687934ceccafca0d2ede10256508,25.0,24.0,8.0
78,38948d71d7f21e1ae378fbb046444e5d,11.4,10.7,40.1
79,646a7bf6881af0e964802fda21dc4fa5,4.0,6.0,11.0
80,05d0355d0bb26140aa841b00daccb283,12.0,39.0,35.0
81,395934724e189c86b5d276b8f39609f5,3.0,13.0,9.0
82,e33df63c3f667791dcc3bce356a56f6d,5.0,22.0,17.0
83,c8c68a648e04da144b5f25f31a20a6ef,8.0,16.0,3.0
84,0296a216290d3342b5ebe6ec0485ce6c,10.0,17.0,15.0
85,f22096d65e395a05a1cfade99b06a2cc,20.0,2.0,17.0
86,347eb71bb5bab8d359bb41b8d36f3b1d,13.0,17.0,13.0
87,693f96a37092477a035043e2278a1372,7.0,6.0,14.0
88,7ebdb67b453061a337d7505d1f019a1f,10.0,2.0,11.0
89,e173dbfb71a9dda7c0a595a3a6f271ad,39.0,15.0,33.0
90,25e1001b963c33a2979ff447d8c489ca,4.0,9.0,7.0
91,e28c0c64da005b9998c85e8441cad782,6.0,17.0,6.0
92,aefb27e76e3e19e7c5aed40d6c885528,16.0,7.0,7.0
93,fce8704fabea9aadb5a3ee06de2a31cb,6.0,7.0,3.0
94,958d7bb75c53a80588d09775c3f5c2fc,28.0,19.0,7.0
95,d85b002a4fec0abee3d98366353e30c1,20.0,30.0,10.0
96,4668310ab06bf40640504d7e578101a8,6.0,5.0,13.0
97,0612aed0046f5df4477704cd06468c16,4.0,15.0,8.0
98,a9b89f150d43562ba02ee81bedac11ea,14.0,52.0,80.0
99,baae47148195816e2492f4f14549fcd6,11.0,13.0,11.0
100,4de2e46aa5a69e833342afea897dc75d,4.0,15.0,7.0
101,74f3b2aa275f0ac96cca29316cde366e,49.0,6.0,26.0
102,65b788c0816c9063fa34058f765287a8,60.0,15.0,22.0
103,d84b239918a82561057e9e1e0b302b0d,20.0,1.0,17.0
104,ae28f2a90dbd8bfc3cc21729f5759698,7.0,9.0,5.0
105,60df90da0d7e955bf678446f67a2a24b,7.0,15.0,4.0
106,60a925ae8e9a0614e9bfbc0ff3e312fd,10.0,6.0,10.0
107,99a45651830d213f2faccbf8fa46787e,16.0,22.0,3.0
108,d968560dbdc9ad813d7dfcf1c417ecc8,20.0,10.0,13.0
109,26bf7efb676265dae2875cc45fb88701,11.0,7.0,22.0
110,0bfbd8c1b12c90b911efebb615707a06,13.0,22.0,28.0
111,334cb7f166e4c61912a91db2a02c730d,15.0,2.0,8.0
112,653f431d2b7363587d5902dfbb94540b,10.0,15.0,10.0
113,903573e036a00f731f4481ea4032fe42,13.0,13.0,12.0
114,bac86304514a7213dd6f302a5e6f0bcd,43.0,16.0,37.0
115,b10d7e8c75f98a4efa31319ed2e0b3a8,19.0,4.0,12.0
116,4d6f4caa41a2acb85a6813d01af62ae7,15.0,5.0,10.0
117,4f57bd5d386f8ec25c3e56f68bc05f75,4.0,20.0,15.0
118,1bd3ca901ad5a98355caff4afb7689b1,12.0,16.0,11.0
119,3064952892f4872922b8d5a01ad81a7f,11.3,14.4,9.6
120,1d8bcaa22156d696e88638154ed1c809,20.0,26.0,33.0
121,2623cfcc785c5e466f306b5fca5702c5,11.0,21.0,4.0
122,e531174bf78c4782abc027154f15e211,11.0,19.0,6.0
123,04b3a2da89207d16a4bbefd47bb6b22c,17.0,14.0,14.0
124,c2a6121a4db9df10d6e03d62555cd24c,32.0,35.0,11.0
125,5f7107b5087c7ec6e494df2d3e9b059e,11.0,32.0,46.0
126,fd1d372b4d82ca0db0f4178e09198a7a,24.0,37.0,38.0
127,3a244d5f582b0f5ade36dbf5492d9d20,7.0,6.0,6.0
128,083fab61d9a1ff3deec7865f0d0fd1c0,60.0,25.0,50.0
129,657d67bb34cb4d39ea5e344919325027,16.0,2.0,9.0
130,6c5c33f94f7cc0bd908af946ba04b151,38.0,12.0,38.0
131,2cde04c1062fd2e686bd3bad831a12ac,23.0,16.0,41.0
132,08bb9220e841ddd8841c93647aa42cb3,11.0,2.0,5.0
133,5940202a886877652b14a6a6fc0ff292,5.0,19.0,12.0
134,2103f482e459d1d3d668af0fc5df71d1,6.0,16.0,6.0
135,3d23c44df1682fd9b44ff3e11c9ea21a,10.0,6.0,10.0
136,a699224a15dcb474118a2cb9002fac11,7.7,16.8,3.8
137,c0ead5b74d5386947d04b4a82a2e69ae,9.0,21.0,6.0
138,3a242c1b733e519ceb547f913ef9e9c1,3.0,8.0,16.0
139,3e9a39cb86beb802fb37e115259c2b21,15.0,5.0,10.0
140,6052e90f507d1e69b6c44f55a813b617,18.0,23.0,7.0
141,03d89ea88c9a7260cc2083a65b5ec078,5.0,6.0,5.0
142,56b6e604ce6d1f4dfd0e221afb6e6195,8.0,13.0,13.0
143,23fbc9a8dbe6f768568ca9717689c79b,7.0,19.0,10.0
144,95488b482ec040563f504c93e25e1a83,13.0,20.0,11.0
145,361dfdfc95ec9ebbb746057be63ed8ba,7.0,15.0,4.0
146,dca8be346747ff444c6903e0f16d28b3,10.0,16.0,9.0
147,a53a129e0ee4c8cc78a5b49a6df5fa0d,52.8,19.1,42.3
148,1f7fcd1990f60d81806a0ff18c96804d,20.0,23.0,17.0
149,e6ba1972ba66a84c306bed6543fdeb0a,6.0,6.0,6.0
150,57a7000abaaf73dd132caf24915d99d8,6.0,7.0,3.0
151,7828a726aabd63d632516662c97bb9ab,19.0,4.0,29.0
152,0a3af9787fa3af861a2812bae38216a8,20.0,15.0,20.0
153,0ae2c4bd7cb946a8e534baa21d79a65a,53.0,28.0,43.0
154,6a3f1d42fcfaf037f04a186e20d66d86,12.0,98.0,60.0
155,2b7aa7d534ed14a917a5986d216fb015,5.0,15.0,20.0
156,603e00bc0a0b036a15ba7cca60b45509,10.0,10.0,15.0
157,4b836807aac61e486de22d948046d798,32.0,20.0,25.0
158,32176150f217b5d264c2aac3d0196e34,14.0,11.0,11.0
159,1617efbc80cc60f6006b58f87eb50e4f,15.0,20.0,6.0
160,28aeeec85b63e7ca149c4ec47937b92c,8.0,8.0,8.0
161,566765aa1d9d22b4a80d5efb41faaf02,5.0,6.0,6.0
162,429f10302917f115411e9621a44bbe27,28.0,39.0,14.0
163,0555642c8a9d8a73703495d2330a115d,42.0,18.0,21.0
164,62a9d30461b58b18a843b2177b2ee11e,5.0,20.0,12.0
165,ca756b57fbd3d8702b3ba76741927a9b,15.0,6.0,21.0
166,6ef17104baadcc6f1ef7a2b02a0cfa1b,22.0,22.0,22.0
167,642c3ed2f1ce3a318c12b3853c1158e1,15.0,5.0,10.0
168,f821c713685241a2504f10c56678e11d,5.0,23.0,18.0
169,6963df85e7fd2bb0fa3f0dc4cb8e2fb7,10.0,22.0,20.0
170,5d446db9658176e7d5b666f3e8b3a2fa,15.0,11.0,19.0
171,d65acb0e15da8c088fc2e0b9d0ff3545,13.0,4.0,20.0
172,3f9dd290538e9bdb3682043f30086016,35.0,14.0,25.0
173,416480dee492fb708add5fd974101cce,43.0,15.0,27.0
174,b2a56023b3e6e6aaaacb015e454dd36d,5.0,19.0,12.0
175,ba6b4b0f917408778f25fb3660bd53fd,10.0,6.0,6.0
176,d755ce93a6d2b50b4c6801c7d4f6e75b,13.0,15.0,11.0
177,c53388ae03203d82c188bfe5ecd0deac,8.0,16.0,4.0
178,85c221fcaa1a507b019ae05eec78d4c4,10.0,28.0,13.0
179,06c00e74f62ac4652def4d3bf53be96c,3.0,12.0,8.0
180,14abdd67a143693670f1d86ddbe1e825,7.0,9.0,4.0
181,ddce30ae559e335601510cea4e1094a0,73.0,47.0,17.0
182,f6e2068e40d5c35e832e350434a03ea0,8.0,5.0,6.0
183,40c9ca048e9dac3beb623cd82b5dca9b,40.0,23.0,43.0
184,33294c50c4a4d60b46dbfe270200af45,42.0,37.0,19.0
185,540f3d9b334b049c8ea7a55e482541d1,6.0,19.0,11.0
186,96d0678ecafaaa8ba824b4938a699b63,105.0,65.0,15.0
187,c538938e5741b7de36606b7fa8b23c78,6.0,10.0,6.0
188,71dc9dcfd718c22e3131da23059ac9f6,5.0,6.0,5.0
189,19903a695914804e875d2b4237284d17,20.0,20.0,20.0
190,52b817328976b1d6aea9c2752008cd6c,53.0,18.0,20.0
191,90967d28faaef3f7b65542bacf81b203,29.0,8.2,13.8
192,2ec593d0ff90957f5c267604844070ab,7.0,6.0,6.0
193,03ef152a1daaf4b1f23a03bca4b25e80,5.0,4.0,10.0
194,bc1c1c94efe194260b0ce1c3b04831d5,19.9,10.5,42.7
195,bcb6ba691781197358f7441d25e6a7a6,29.0,19.0,24.0
196,ece240f4ec734264fa576d2e5b809795,57.0,23.0,31.0
197,397c088f01f27c46869676e1b48e7d21,6.0,10.0,4.0
198,ff399133df95e02fae68d41aa7463a83,35.0,3.0,3.0
199,da82e91f6c39b62004bd0e59c72ac501,12.0,40.0,30.0
200,56379f4f4c34e74335b3d5328157dcdb,10.0,12.0,10.0
201,4eae2e19ffe0abe5a9503daa7ca16733,10.0,15.0,10.0
202,90e9f0576d3573233af9c63bd730881a,12.0,12.0,12.0
203,cd441ce90e17dbec6971c9b468de71de,9.0,8.0,8.0
204,994a75889b60bdb240a90a5c89a5304b,44.0,6.0,11.0
205,f2eaf346a5ed5542cbcf0b7ab747b94c,18.0,23.0,29.0
206,7a525c4dc2e6a2d60813b95459fff6d8,25.0,5.0,15.0
207,8daa6511df84e8f1291978b3174d2a9c,38.0,26.0,17.0
208,11ada20af90c7cec3692c790936f274a,5.0,15.0,21.0
209,210bf0b56236f61d0dec6305c742056d,14.0,11.0,11.0
210,bac79d1ab675f9419be503c4bca01027,31.0,2.0,4.0
211,16a9dc74bbfeab374b71f29da26a02f3,7.0,4.0,7.0
212,d40dac7080d5ba6f47156baf413b4fcf,11.0,1.0,5.0
213,f867f8ae6f9128229fcdbf6d5631d940,28.0,56.0,13.0
214,5528833a9fbce9d5f0778deb3cafd507,44.0,10.0,33.0
215,3fe73aa2e06ea04398af51e19df7af53,5.0,20.0,14.0
216,10bdf2320bc91563c8ab66bba3eb6673,4.0,11.0,6.0
217,663d1c056eaf81981a38d4eda77b8fc2,7.0,17.0,5.0
218,8a267c64b179eb0d949dd9ac4ddd4e63,10.0,5.0,8.0
219,cfc44c5126178304f33a4262c91b9f37,73.0,47.0,17.0
220,92d763c6c5b58e392295144b4cb2388a,20.0,5.0,13.0
221,30271a4e3687fa63a9e890d4142cff1b,4.0,8.0,16.0
222,6aa5f991802c34f67189a93fcd1dc381,7.0,6.0,6.0
223,fc93647540f96560aa9d238298ab720b,6.0,20.0,6.0
224,3b1761e75d59b4afe82bb627d4329bb2,5.0,19.0,12.0
225,9980759d54aecf5e7e5a252dcd50e205,78.0,4.0,24.0
226,7505012a9730cd29a36711e1d223a202,36.0,26.0,11.0
227,c64ce5e0ba79d791f2f7494266aae6f6,5.0,19.0,12.0
228,e4e9979bf5ffe586e3053b8bcc06b1d1,8.0,16.0,4.0
229,80e13a9e0e906d46dca578739a488ac8,29.0,8.0,33.0
230,d4589abc2a2e9e1d1550da990b2c17a4,25.0,5.0,15.0
231,ddfa4b19a52db60bb638654d01655da0,9.0,13.0,10.0
232,8e4d25c392af7da364f7ebee59bbcb41,6.0,5.0,5.0
233,475aeb7b76c6c8f536fb9df0c7d5acc4,4.0,8.0,13.0
234,241636a79ff52182f784bcf48faaa2aa,31.0,13.0,24.0
235,6309ea58fb91ee979030f2b9751fe805,8.0,13.0,7.0
236,8dbf3e845842b18ee383f5c7fb47633a,4.0,9.0,7.0
237,a7da0e46d867220d2c89f2eb04c6b9b6,15.0,5.0,10.0
238,3d0d9f5423430897d2c440e8975cd7b1,11.0,1.0,5.0
239,8af789978d2bd9d259c382c3b41561b0,28.0,4.0,23.0
240,68a5bf949fb1025cddbcdc6ae4ee6fd4,12.0,40.0,30.0
241,77b038ef7c4a75fb7fc563147a3e858a,5.0,4.0,20.0
242,dd0ef22eade2dde4b49ba060f9bfa382,10.0,6.0,10.0
