sku,a,b,c
ae7ae9137e6e1a8182c1775c7ab00c32,18.8,10.8,25.4
cb9f88920f9818608addfbd259d7fc52,20.8,12.0,32.0
07bec5987e4ed7450ed127fe865edb74,24.0,22.0,31.0
62231a21355b06a0c8ed9d77c48d4c1a,33.0,39.0,11.0
e2f650b9c349505e9aa313081012016f,41.1,12.3,22.5
846c5b41527e1f8a1bb6b9db69566df4,19.0,7.0,15.0
a699224a15dcb474118a2cb9002fac11,7.7,16.8,3.8
d755ce93a6d2b50b4c6801c7d4f6e75b,13.0,15.0,11.0
90967d28faaef3f7b65542bacf81b203,29.0,8.2,13.8
bac79d1ab675f9419be503c4bca01027,31.0,2.0,4.0
7ac5d02ef204c94f480bbeaa4163dcbe,40.3,20.8,31.4
91cdae6dbd8639e587b879d7facc45d9,31.0,22.0,6.0
85f002e553d2ca514f87bec26c9bed0b,29.1,8.4,22.3
5e71d628c5519813a454f878092ab315,16.9,19.5,11.3
10ece29508f5d4b0d2b6b0c012129ec0,23.6,7.6,18.5
ac19d1bfededfea4f3fa7e8275a76eda,14.1,17.9,32.6
29b33977fbc3acf069858b5dff22a4ff,19.6,5.5,13.8
fd530d5015090091befa0e5aab9f8ad5,8.0,29.4,7.4
382f708012db2bd400f2767049accfe0,33.0,13.0,15.0
c89f62167dee11e9add6f616e1ecc759,39.6,11.7,37.9
7580e03fef159892eb7723be31267857,13.5,20.2,4.7
7ead1a1bc5f93c636d81d2921fc59bd0,41.6,10.1,30.4
2226cb84e50151677ba1a1a2aeb759e7,14.1,5.7,19.3
4d56c5ee5e7b0afefaabfa9df0ab4783,12.9,4.7,19.5
9aef2786cc81f5ec93e562b19d84b986,35.0,12.0,14.0
53f51673e856bf72df921117e220048e,13.6,5.2,19.1
04333c15a8747e5299e09b0c7b129fc7,4.0,12.0,7.0
990a293f1907c8bab94c70027ac7ad4b,23.5,8.5,29.5
b73664e700ba060f920850d438e7fc29,9.0,8.8,9.2
ec884448576547bdd2c86c0269bd4e6e,5.0,7.0,5.0
a6e06611738770ead5a4e99810d9e521,11.6,18.9,15.8
fd3f748b95f069765c9bddfb448dfa83,56.9,12.7,39.4
89211348f149c667437ec654633d71b1,20.2,11.9,40.9
2b780ff1e02c4680e8dd50ba392c493c,23.0,9.0,28.0
d6ade6064841704f10f55bf091e97ddb,37.3,9.6,35.2
774d2d7877caa480bcbe5128b97093f1,17.3,5.5,17.5
6240b0d448cd261da263e538522fab2d,13.3,16.6,14.5
1928bcde18095a1234321de4d5a76582,57.1,6.2,39.4
0ba9a9de9fc3c91b11ad8ffac3ee88bc,13.0,36.0,12.0
7807b5122c8d75e971db51acf0cd3774,4.4,19.3,7.8
b8e0b952cb5287017756165bfc9d930b,10.5,6.5,16.2
d84e42afe3afb394373eab6c4c8e3b42,12.9,4.9,19.4
a7d26e2386fe7593de469eb78f737ee9,13.0,4.6,19.6
dbb7391728ec472c7a5ca22057e7d2ef,9.1,9.1,30.7
43f00748ffa5ca2e370b7f5af59f6a89,12.6,4.5,20.0
414c436e72961803c11d276e33b2559a,45.0,34.0,32.0
b2e107d903d7db134a96dd210b4561ec,29.0,11.7,38.0
c4661d39265546a3f25a4944ee324ed9,31.0,6.0,24.0
42d02e82fa01116ecbd531c014f71979,24.0,16.0,6.0
f5f8b985e55d4b7ad7a4a240fe6a92c9,8.8,21.8,3.3
e6e8d28e76b927883b754e2c709d243e,10.3,1.7,9.9
ef602614d9802e08cbca0b16da085d7c,5.1,25.9,10.6
c10f90866bb164e7640e444773711f11,9.8,31.0,10.2
f1c67089dbc27e2e97122b153b119604,18.6,39.7,16.7
0f55a2e86f5c0981af9cfc948f841671,10.3,5.4,11.3
a8e713cb55e64b632ecb645c4a3b4071,6.0,24.0,6.0
722d8a76be24f8660bbb8d04e6b8294a,24.9,4.0,30.5
66b14e892ea190c1522d74ca6f2bd437,8.0,2.0,8.0
69b271d84bdfcc8527a7f8234d70ad20,29.7,10.8,15.4
fb0bf444ac5ec06aecd2721ee674df30,15.1,4.7,17.2
af011380bd82f15c3dfbea78aaad5460,6.3,14.6,6.1
899e142f86e0be2d7216529378124c77,31.7,12.6,38.3
59f2ec38e2f42dfc2a73826f624ecf75,15.0,20.0,6.0
04685040faf71d493f37dd322bfe5445,5.0,5.0,22.0
ff08e73fdd0d558eae93169b853b279f,9.0,31.0,6.0
2ddb85a505dc9632b7b25198f332261f,9.2,6.5,26.1
1545dc04117c5bc00199757635d005fe,7.2,26.0,4.8
3806cf79650462ddba7b0a05c68c4523,7.0,25.8,4.1
65fd62d436a983af6263d6fbece91f99,11.0,5.0,9.0
2d6bd61c6ec84ca21325216a24afbd29,10.0,27.0,5.0
ad5fc8e655f3ad2f5d94661f80518c6f,11.0,28.0,7.0
d31c8f87e25eddf158f1854a8836a477,19.0,6.0,14.0
c0e14d0143a9db7f94634ce0e9152eda,6.0,13.0,4.0
0bcb4ca27fabd43330ea66dac847077b,19.0,6.4,14.5
2bc44fa0b5bf24060b2bd2118f2cd821,11.0,9.0,11.0
c2ad8d55d2b2e7606ca12c3e273dee1a,9.0,29.0,9.0
5504193586b69e335155f0971f8d718c,10.0,16.0,4.0
6da68ed5deaa7942282b2a505b264921,21.0,7.0,10.0
c7e7cab545392894386c836364201c80,10.0,1.0,9.0
a7df486470b52d9f23df2abd823c641c,17.0,10.0,31.0
07e7182f2ef3faed1dd4b037403ce925,9.0,31.0,6.0
7f0247efcdf40d1b685fcde0045496eb,6.6,26.0,4.3
c55e10faa3efd80f9450c86430ae33b1,34.0,14.0,11.0
f5cfb5c0ebc4a58dab0ec60b34a640c2,9.0,11.0,6.0
0b1a40633d6ebfcaf3b75610029c33ca,4.0,18.0,3.0
f461588fb6e4a15a4f477367e9d4375d,17.0,1.0,4.0
ad3b08f17ae9515933551da951c74a65,4.5,16.6,4.8
0283490f903425848ce423a53cd54692,6.0,20.0,7.0
5a6ef28e8ed1147bdcaf4a6eae89e223,10.0,10.0,10.0
73712c42b755e7812788be996f7f39e9,40.0,35.0,35.0
e1af1e2b8d44cbbbf2093de59733da23,7.0,18.0,4.0
aa9f2ae2591841043397a197662d2169,46.4,27.0,18.8
b5be557eff0e42fb8d10e0458bc85556,4.5,18.5,4.5
899c3869aaaeb91d84fdd0fe135dc1c5,20.9,4.1,6.9
3cc467caec302cdf7d1369b6528470cf,5.4,14.0,5.7
4497a8d546f92bb0cfb1e9e5e11ab6b9,5.0,16.0,3.0
7738d14617c234d1dd8fc06daa29671b,8.0,24.0,5.0
97b39065e03a99099c2ed60a648008a9,8.0,17.0,3.0
40443c56db2488d434edd20e1bffb375,27.0,14.0,22.0
c164af9030d3525fa2be2cae794f14fe,16.0,1.0,16.0
391f1a1d5a0ed1637e98fd62096b0bd2,7.0,6.0,7.0
cdaa49c49e2055b2ec3ae17f0693f6e1,8.0,19.0,4.0
5cda6f3d9e47a85a9924dc4938b9e3a2,2.0,8.0,4.0
cd538a531d2a62b19346e14b27470a85,11.7,2.4,5.2
0c4a6f0444f6e04d18f18b995a44e8a7,4.0,13.0,8.0
6edabb24247e9065588de7e7e34f1359,5.0,17.0,5.0
3dcd54fe1d254b953a274095e591838d,9.0,4.0,13.0
c61fc72898408b2f5a38d28c6cf97e22,9.0,11.0,6.0
435472a8de93b86f4f556a49ba33d300,5.0,23.0,5.0
a68c4f0fcbd4b1d5075140bd05c9403a,7.0,19.0,6.0
812e8557fdc261fa1b0efcd5360341f1,5.0,3.0,24.0
b2efcce7059e77f40aa83d82e47d90d7,41.0,20.0,27.0
cd3c5c5affb26f72316e602a0d3c9c23,1.0,13.5,1.0
b8634b05b0359bfa4b575e47f2a1ee56,8.0,27.0,6.0
d0fe524ebc150f8b1091ec6765ac2527,10.0,15.0,3.0
1bef502a3d0a79a44154a0b3eb5ee19b,19.1,3.6,3.6
9b81ebe32e1b80f7e004304b7afb5230,7.1,6.6,7.2
57efc7b44dc389563917bea54488291a,32.3,10.4,48.9
fece56ce34a25a1d233ca5c1e0327c1d,46.0,12.0,32.0
99a9967f57998bda3a5f6c603839cbda,7.0,20.0,3.0
bb13a4b60167e925629b3b4842618009,7.0,6.0,7.0
034ee32215f4235e74a22998e5f0b2a8,20.0,4.0,5.0
729e72bd23496b4c336c8a79dc33218c,4.0,15.0,6.0
a7f82f5be5a80eba6a74cf3a9426d735,7.0,21.0,4.0
f8ae406952e9c1439309025f9eeda233,11.0,5.0,7.0
3f39fdd5a58511888dc9fc9d9420972f,20.0,5.0,5.0
799e8ab2edc28d8627fd686384d92f66,44.9,11.4,24.6
15c92fffd4630bc592d3d92e729e308b,19.0,3.0,4.0
da04473d4032b75ca6db27d42143bc85,29.5,23.9,55.9
d7a984c429eaa75615e930c60697dc0d,5.0,4.0,15.0
f288154a860bae8446e70c844f344a48,4.0,18.0,4.0
85b72c58117b804ea84f62e4c180804a,26.0,35.0,17.0
dc2a7115b44bc97e86a8620ade9ff7e8,8.0,20.0,5.0
457f5e7a6e5040aa0b45f4c763a9a377,23.4,1.4,5.1
989b18fbc8646fbcc49920a495400d06,12.1,1.5,8.1
833b46abc96e3d8310a2fc691f564570,9.1,3.5,5.8
d04b0dff9e5e8a2db0f8ee0beb8e48af,20.1,4.5,12.7
f4e0fd86605e6abd94b3a1c904e2d60b,10.0,5.0,8.0
b3a3c4d6ccf840e31907f71ee45fc3a5,20.1,4.5,12.7
9d6ac955bf66cd03c2116082d5c16b80,5.0,23.0,17.0
b95482dfd0e13c323205e233ce6c3a73,16.7,3.6,7.1
bbeabf1219bc9e7616a5cd660072f5a3,40.0,11.0,35.0
462138a50a6e5c6783d98d871a8574b1,26.0,5.0,18.0
c564ff80254cc97773de5668b397780f,71.9,3.7,3.6
3ccc98ab0d3b14ce5855f756ef244ac1,22.0,4.0,20.0
33254f62ad941e860df3f415aef81da3,120.0,3.7,3.6
8fd928f54ef4ea10e6dbfea72152b318,26.0,4.0,25.0
31e620688badef62f7496375b029a838,20.0,24.0,20.0
88280ac4a1421b6d75c9f5faca68fefe,21.5,13.0,14.5
9f1f9ff4253e6d33951509282ba1754b,26.0,14.0,16.0
7b0762d8127f93b84e62d76b870f268d,18.0,6.0,12.0
